2026-06-11 03:11:01 [INFO] === 初始化 BGBUSDT [DRY-RUN] ===
2026-06-11 03:11:01 [INFO] symbolStatus: normal
2026-06-11 03:11:02 [INFO] GET /api/v2/mix/account/account 返回 code=40085（统一账户模式，经典接口不支持）
2026-06-11 03:11:02 [WARNING] GET /api/v2/account/account 返回异常: code=40404 msg=请求的URL不存在
2026-06-11 03:11:02 [ERROR] 获取账户 失败: code=40404 msg=请求的URL不存在
2026-06-11 03:11:02 [WARNING] 无法获取账户信息（统一账户模式），使用默认配置
2026-06-11 03:11:02 [DEBUG] [DRY-RUN] POST /api/v2/mix/account/set-position-mode body={"symbol": "BGBUSDT", "productType": "USDT-FUTURES", "holdMode": "one_way_mode"}
2026-06-11 03:11:02 [INFO] 持仓模式已设置为: one_way_mode (单向持仓)
2026-06-11 03:11:02 [DEBUG] [DRY-RUN] POST /api/v2/mix/account/set-margin-mode body={"symbol": "BGBUSDT", "productType": "USDT-FUTURES", "marginCoin": "USDT", "marginMode": "crossed"}
2026-06-11 03:11:02 [INFO] 保证金模式已设置为: crossed
2026-06-11 03:11:02 [DEBUG] [DRY-RUN] POST /api/v2/mix/account/set-leverage body={"symbol": "BGBUSDT", "productType": "USDT-FUTURES", "marginCoin": "USDT", "leverage": "3"}
2026-06-11 03:11:02 [INFO] 杠杆已设置为 3x
2026-06-11 03:11:02 [INFO] size=4.0 验证通过
2026-06-11 03:11:02 [INFO] 策略启动: [DRY-RUN] 轮询间隔=3s
2026-06-11 03:11:02 [DEBUG] [BGBUSDT] mark=1.763500 | posMode=one_way_mode marginMode=crossed | layers=0/8 | pos_size=0 avail=0 | avg_entry=0.000000 | next_entry=0.000000 | tp_price=0.000000 | unrealizedPL=0.0000 | liqPrice=0.000000 liq_dist=999.0000
2026-06-11 03:11:02 [INFO] 开第一层空单: size=4.0, mark=1.763500
2026-06-11 03:11:02 [DEBUG] [DRY-RUN] POST /api/v2/mix/order/place-order body={"symbol": "BGBUSDT", "productType": "USDT-FUTURES", "marginMode": "crossed", "marginCoin": "USDT", "size": "4.0", "side": "sell", "orderType": "market", "clientOid": "sp_BGBUSDT_1781118662528_xr1of5"}
2026-06-11 03:11:02 [INFO] 第一层开仓成功: orderId=dry_run_order, size=4.0, price=1.763500, clientOid=sp_BGBUSDT_1781118662528_xr1of5
2026-06-11 03:11:05 [DEBUG] [BGBUSDT] mark=1.763500 | posMode=one_way_mode marginMode=crossed | layers=1/8 | pos_size=4.0 avail=4.0 | avg_entry=1.763500 | next_entry=1.772317 | tp_price=1.745865 | unrealizedPL=0.0000 | liqPrice=0.000000 liq_dist=999.0000
2026-06-11 03:11:08 [DEBUG] [BGBUSDT] mark=1.763500 | posMode=one_way_mode marginMode=crossed | layers=1/8 | pos_size=4.0 avail=4.0 | avg_entry=1.763500 | next_entry=1.772317 | tp_price=1.745865 | unrealizedPL=0.0000 | liqPrice=0.000000 liq_dist=999.0000
2026-06-11 03:11:11 [DEBUG] [BGBUSDT] mark=1.763500 | posMode=one_way_mode marginMode=crossed | layers=1/8 | pos_size=4.0 avail=4.0 | avg_entry=1.763500 | next_entry=1.772317 | tp_price=1.745865 | unrealizedPL=0.0000 | liqPrice=0.000000 liq_dist=999.0000
2026-06-11 03:11:15 [DEBUG] [BGBUSDT] mark=1.763500 | posMode=one_way_mode marginMode=crossed | layers=1/8 | pos_size=4.0 avail=4.0 | avg_entry=1.763500 | next_entry=1.772317 | tp_price=1.745865 | unrealizedPL=0.0000 | liqPrice=0.000000 liq_dist=999.0000
2026-06-11 03:11:18 [DEBUG] [BGBUSDT] mark=1.763500 | posMode=one_way_mode marginMode=crossed | layers=1/8 | pos_size=4.0 avail=4.0 | avg_entry=1.763500 | next_entry=1.772317 | tp_price=1.745865 | unrealizedPL=0.0000 | liqPrice=0.000000 liq_dist=999.0000
2026-06-11 03:11:21 [DEBUG] [BGBUSDT] mark=1.763500 | posMode=one_way_mode marginMode=crossed | layers=1/8 | pos_size=4.0 avail=4.0 | avg_entry=1.763500 | next_entry=1.772317 | tp_price=1.745865 | unrealizedPL=0.0000 | liqPrice=0.000000 liq_dist=999.0000
2026-06-11 03:11:24 [DEBUG] [BGBUSDT] mark=1.763500 | posMode=one_way_mode marginMode=crossed | layers=1/8 | pos_size=4.0 avail=4.0 | avg_entry=1.763500 | next_entry=1.772317 | tp_price=1.745865 | unrealizedPL=0.0000 | liqPrice=0.000000 liq_dist=999.0000
